設問1	設問2	設問3	設問4	設問5	設問6	設問7	設問8	設問9	設問10	設問11	設問12	設問13	設問14	設問15	設問16（チェック）	会員ID
22	３	２	15	Instagram	動物	いいえ	いいえと回答	いいえ	俳優	ここ数年太ってきたと感じてきたので	いいえ	はい	ウォーキング	規則正しい生活をする	2	1235856242
10未満	４	２	20	X (旧Twitter)	動物	はい	健康状態の改善（病気予防・治療）	いいえ	一般社会人	年齢で代謝が落ちてきたから	いいえ	はい	バランスの良い食事と基礎代謝上昇のための軽い筋トレ	腹八分目と菓子類の接種を控えている	2	1237410516
10未満	２	１	146	X (旧Twitter)	アニメ、漫画	はい	健康状態の改善（病気予防・治療）	いいえ	エステティシャン	あまりの体の不調時にエステにてマッサージを受けたところ、健康面に置いても体型面に置いてもすごいと思ったので	はい	はい	体の中から健康になる	水分をしっかりとり栄養もしっかりとる	2	1235783316
19	３	１	36	Instagram	テレビ番組	はい	健康状態の改善（病気予防・治療）	いいえ	スポーツマン	20歳前後	はい	はい	筋トレ	食べすぎない	2	1236366692
18	３	２	120	Tik Tok	テレビ番組	はい	健康状態の改善（病気予防・治療）	いいえ	女優	大学生##入試勉強が一段落し、外見にこだわりが出た	いいえ	はい	運動、食事	毎朝軽くランニングをする	2	1233210156
20	３	１	246	X (旧Twitter)@Instagram	動物	はい	健康状態の改善（病気予防・治療）	いいえ	女優	洋服をきれいに着こなしたい	いいえ	はい	そもそもの身長差があり不可能だが、お菓子をやめたら痩せた	白湯を飲む	2	1238400048
15	１より痩せている	１より痩せている	14時間59分	X (旧Twitter)@Instagram	動物	いいえ	いいえと回答	いいえ	タレントさん モデルやアイドル	自然と。20歳を超えたら痩せてきた	いいえ	はい	痩せるだけではなく運動して筋肉もちゃんとつける	出来るだけ階段を使ったら、歩くようにする	2	1236371825
19	３	２	300	Instagram@Tik Tok	モデル (人)	いいえ	いいえと回答	いいえ	モデル	特にない	いいえ	はい	運動と食事	毎日体重計に乗る	2	1236562726
24	５	２	20	X (旧Twitter)@Instagram	アニメ、漫画	はい	理想のモデルの影響	いいえ	女優	産後にたるんだから	はい	はい	軽い食事制限と軽い運動	なし	2	1228877135
10未満	１	１	60	該当なし	音楽	いいえ	いいえと回答	いいえ	K-popアイドル	昔からあまり太らないので	いいえ	いいえ	お酒飲まない	お酒飲まない	2	1229074586
20	１	１	0	X (旧Twitter)	動物	いいえ	いいえと回答	いいえ	アスリート？	筋肉がしっかりついてていいなと学生時代に思いました。	いいえ	いいえ	運動	特に無いです。	2	1225809034
16	３	２	30	X (旧Twitter)@Instagram	該当なし	はい	理想のモデルの影響	いいえ	芸能人	10代の頃##自分の好きな系統のファッションを着こなしている芸能人を見て	いいえ	はい	トレーニングや食事制限	食事を大切にする##異変を感じたら病院に行く##定期検診	2	1232485554
18	５	２	188	X (旧Twitter)	アニメ、漫画	はい	健康状態の改善（病気予防・治療）	いいえ	野球選手	ここ一年ほど試合を見ていて素敵だと思ったから	いいえ	はい	筋トレ	しっかり睡眠をとる	2	1228431248
17	３	２	3	該当なし	音楽	いいえ	いいえと回答	いいえ	アナウンサー	高校生　部活を辞めて太ってきたから	いいえ	はい	運動と食生活	適度に運動とバランス良く食事	2	1236705908
21	１	１より痩せている	15	X (旧Twitter)	アニメ、漫画	はい	健康状態の改善（病気予防・治療）	いいえ	モデル、インストラクター	2・3年前頃にコロナ渦で外出が難しくなったので、それを機会に体重を減らして持病である関節リウマチによる変形や足への負担を減らしたいと思ったため。また、全体的に健康になろうと思い立ったため。	いいえ	はい	ハードな運動よりも、継続して確実に筋肉をつけることや食事内容に気を配ることです。	とにかく継続することを心掛けています。	2	1235317796
17	５	２	180	X (旧Twitter)	アニメ、漫画	はい	健康状態の改善（病気予防・治療）	いいえ	特になし	特になし	いいえ	はい	食事制限と運動	規則正しい生活	2	1232161711
23	１	１	30	X (旧Twitter)@Instagram@Facebook@Tik Tok	風景	はい	スポーツ・パフォーマンス向上	いいえ	体脂肪率が低いこと	年齢を重ねておくと、まわりの同世代のひとをみて。反面教師と思えたから	はい	いいえ	食事	適度な運動	2	1233937912
20	５	４	0	X (旧Twitter)	アニメ、漫画	はい	健康状態の改善（病気予防・治療）	いいえ	医師	病気をしてから	いいえ	はい	スクワット、ラジオ体操	睡眠	2	1235472501
20	２	１	40	X (旧Twitter)@Instagram	動物	はい	その他	いいえ	モデル	体重が増えやすくなった事が30代にあったため。	はい	はい	健康的な食生活と適度な運動	食べる時間を気にすること	2	1230026617
10未満	２	１	5	該当なし	音楽	はい	身の周りの環境	いいえ	職業で理想的な体型と考えたことはありません。	特にありません。	いいえ	はい	日頃の運動の継続	バランスの良い食事と適度な運動	2	1234280637
19	５	４	0	該当なし	アニメ、漫画	いいえ	いいえと回答	いいえ	わからない	わからない	いいえ	はい	運動	ない	2	1229294467
30	８より太っている	３	30	X (旧Twitter)@Instagram	該当なし	はい	身の周りの環境	いいえ	なし	素敵な服が着たい	いいえ	はい	難しい	なし	2	1230481614
30	５	３	60	Tik Tok	音楽	はい	身の周りの環境	いいえ	なし	お腹が出てきたから	いいえ	はい	わからない	野菜ジュースやトマトジュースを飲む	2	1233210890
19	５	２	240	X (旧Twitter)@Instagram@Tik Tok	音楽	はい	健康状態の改善（病気予防・治療）	いいえ	俳優	2年前くらいにテレビドラマを見てかっこいと感じたから	いいえ	はい	運動	たんぱく質をとり運動をする。よく眠りよく運動する。	2	1232160887
34	７	５	30	X (旧Twitter)@Instagram	音楽	はい	身の周りの環境	いいえ	会社員	自分できづいて	はい	はい	運動をする	運動をする	2	1233482802
25	４	２	60	X (旧Twitter)@Instagram	モデル (人)	はい	健康状態の改善（病気予防・治療）	いいえ	モデル	高校、雑誌	いいえ	はい	運動	睡眠	2	1226465241
