設問1	設問2	設問3	設問4	設問5	設問6	設問7	設問8	設問9	設問10	設問11	設問12	設問13	設問14	設問15	設問16（チェック）	会員ID
25	４	２	8	X (旧Twitter)@Instagram@Tik Tok	モデル (人)	はい	スポーツ・パフォーマンス向上	いいえ	魔裟斗さん　元キックボクサー	動くと重さを感じるようになったので。腹が出てきた。魔裟斗さんのyoutubeチャンネルを2年ぐらい前に見て	いいえ	はい	有酸素運動　サイクリング	カロリー制限　カロリーを気にする　お酒を控える	2	1235490489
25	５	３	360	X (旧Twitter)@Instagram	モデル (人)	はい	健康状態の改善（病気予防・治療）	いいえ	野球選手	太って運動能力が落ちた　もしくは腹回りの肉が気になったとき	はい	はい	ジムに通う	暇なときにウォーキングや簡単な筋トレ	2	1236639019
33	３	４	2	X (旧Twitter)@Instagram@Tik Tok	モデル (人)	いいえ	いいえと回答	いいえ	サッカー選手	ナチュラル	いいえ	いいえ	食べ過ぎない	糖質を取りすぎない	2	1236772748
19	２	４	0	該当なし	該当なし	いいえ	いいえと回答	いいえ	わからない	特にない	いいえ	いいえ	わからない	特にない	2	1232173328
25	４	４	23	X (旧Twitter)	該当なし	いいえ	いいえと回答	いいえ	モデル	大学生の時友達の体型を見たこと	いいえ	はい	筋力トレーニング	適度な運動をすること	2	1230539709
20	１	１	60	X (旧Twitter)	アニメ、漫画	はい	健康状態の改善（病気予防・治療）	はい	nasi##	なし	いいえ	いいえ	努力	努力	2	1237662494
26	５	３	25	X (旧Twitter)	動物	はい	理想のモデルの影響	いいえ	俳優業	２年前##鏡を見てです。	いいえ	いいえ	食事制限と運動です。	食べ過ぎないことです。	2	1232711695
21	２	３	36	X (旧Twitter)	該当なし	いいえ	いいえと回答	いいえ	プロスポーツ選手	10代の頃、やせ型だったので	いいえ	はい	筋トレ	リラックスタイムを設ける	2	1236506145
18	４	４	25	X (旧Twitter)	アニメ、漫画	はい	身の周りの環境	いいえ	普通の体系が一番理想の体型。サラリーマン。	同年代の人で太ったりしている姿をみたとき	はい	はい	食べ過ぎないこと。無理をしないこと。	食べ過ぎないこと。糖分を摂りすぎないこと。	2	1225026867
21	５	３	3	X (旧Twitter)@Instagram	モデル (人)	いいえ	健康状態の改善（病気予防・治療）	いいえ	パイロット	25歳、健康診断で思った以上に体重が増えていたから。	いいえ	はい	適度の運動を毎日行うこと。間食をしないこと。	野菜を多く摂取すること。エレベーター、エスカレーターは使わず、階段を使う。	2	1233851163
15	３	３	255	X (旧Twitter)@Instagram@Tik Tok	アニメ、漫画	はい	健康状態の改善（病気予防・治療）	いいえ	スポーツマン	夏場のお腹周りが気になる	はい	はい	筋トレ	食事の量と栄養バランス	2	1236580513
18	２	３	89	X (旧Twitter)@Instagram	音楽	いいえ	いいえと回答	いいえ	痩せすず太りすぎず、適度に筋肉のついているサラリーマン	自分が40代になり、貧相な体型が気になりだしたため	はい	はい	地道な筋トレ	暴飲暴食をしないこと	2	1231087781
22	４	３	180	X (旧Twitter)@Instagram@Tik Tok	風景	はい	スポーツ・パフォーマンス向上	いいえ	格闘家	いったん太ってからやせてみたら、格闘家のようなフォルムに似てきたから	いいえ	はい	運動	運動	2	1232023342
33	８	５	0	該当なし	該当なし	はい	スポーツ・パフォーマンス向上	いいえ	農林水産業で現場の業務(肉体労働)	2017年、農業生産法人で収穫作業のバイトがきっかけ	はい	いいえ	血中のエネルギー切れを起こした後、効率的に脂肪をエネルギーに変えるための栄養素を摂取すること	運動前にモチベーションを上げること。まずは試すこと。	2	1230685489
18	１	４	0	該当なし	該当なし	いいえ	いいえと回答	いいえ	水泳選手	体力がないと感じ、膝にも負担の少ない全身運動である水泳が良いと思い、水泳選手の体型がうらやましくなった。	いいえ	はい	食事と睡眠と運動	食事と睡眠と運動	2	1225206830
28	６	４	33	X (旧Twitter)	動物	はい	健康状態の改善（病気予防・治療）	いいえ	俳優	スラっとした感じでも細マッチョだったから	いいえ	はい	食事と運動と筋トレを毎日やることだと思う	脂っこいものを控えて野菜とかもきちんと取ること	2	1231020179
20	５	４	45	Instagram@Facebook	アニメ、漫画	はい	健康状態の改善（病気予防・治療）	いいえ	大工さん	健康診断で肥満気味と診断されたので	はい	はい	食事と栄養と適度な運動。	適度に動いて食べて睡眠を取る。	2	1235857389
21	４	４	113	X (旧Twitter)@Instagram@Tik Tok	該当なし	はい	身の周りの環境	いいえ	中距離ランナー	服のサイズが合わないと感じた時。	いいえ	はい	毎日体重計に乗る。	適度な食事と運動を続ける。	2	1233000642
22	５	３	250	X (旧Twitter)@Instagram@Facebook	該当なし	はい	健康状態の改善（病気予防・治療）	いいえ	なし	なんとなく	はい	はい	筋トレ	筋トレ	2	1232967173
22	１	２	59	X (旧Twitter)	該当なし	はい	健康状態の改善（病気予防・治療）	いいえ	消防士	40台前半の頃ダイエットをして体重が落ちたときに、筋肉も落ちて体型が弛んだようになったため。	はい	はい	筋トレを継続的に行う。	適度に運動をし、バランスの良い食事を摂る。##食べすぎない、無理をしない。	2	1235488222
18	３	３	10	X (旧Twitter)	風景	はい	身の周りの環境	いいえ	-	-	はい	はい	-	-	2	1231327446
27	５	３	10	X (旧Twitter)@Instagram@Tik Tok	モデル (人)	いいえ	いいえと回答	いいえ	ヨガ講師	２、３年前、きっかけは好きな人を見つけたから。	はい	はい	適切な量の食事と運動。	ウォーキングを毎日１万歩を目安に行っている。	2	1237384681
10未満	３	３	30	X (旧Twitter)@Tik Tok	アニメ、漫画	はい	その他	いいえ	俳優	30歳。映画を見て俳優がかっこ良かったので	はい	はい	ストレッチの習慣	毎日ストレッチをする	2	1231999808
