設問1	設問2	設問3	設問4	設問5	設問6	設問7	設問8	設問9	設問10	設問11	設問12	設問13	設問14	設問15	設問16（チェック）	会員ID
18	３	１	340	X (旧Twitter)@Instagram@Facebook	動物	いいえ	いいえと回答	いいえ	モデルさん##俳優さん	高校生##人と比べがちのとき	はい	はい	食生活、睡眠など	サプリメントで栄養をとる	2	1234111828
25	５	３	120	X (旧Twitter)	動物	はい	健康状態の改善（病気予防・治療）	いいえ	モデル	健康診断で肥満気味と言われた時。	はい	はい	日々の運動と生活の見直し。	少しでも運動する。	2	1237718446
19	２	２	33	X (旧Twitter)	動物	はい	健康状態の改善（病気予防・治療）	いいえ	フィギュアスケーター	20代前半頃にテレビで観戦したフィギュアスケート選手の美しさに憧れた。	いいえ	はい	健康的な食事を心がけること。	糖質を摂り過ぎず、毎日野菜スープを食べること。	2	1237369040
22	４	３	15	X (旧Twitter)@Instagram	動物	はい	健康状態の改善（病気予防・治療）	いいえ	アナウンサー	服がきつくなった	いいえ	はい	食事改善	過食しない	2	1228810604
19	３	１	200	X (旧Twitter)@Instagram	該当なし	はい	理想のモデルの影響	いいえ	タレント	高校生、テレビでみたから	いいえ	はい	筋トレ食事制限	あまり我慢しない	2	1238491253
23	４	７	360	X (旧Twitter)@Instagram@Facebook@Tik Tok@BeReal.	モデル (人)	はい	身の周りの環境	はい	一般人	健康になりたいから	はい	はい	運動	睡眠取る	2	1232121138
10未満	１より痩せている	１	18	X (旧Twitter)@Instagram@Tik Tok	該当なし	いいえ	いいえと回答	いいえ	モデル	合う服装が中々なかった時。	いいえ	はい	特になし	特になし	2	1236105196
20	２	１	120	X (旧Twitter)	音楽	いいえ	理想のモデルの影響	いいえ	美形	体系	いいえ	いいえ	減量	減量	2	1233737878
22	４	３	30	X (旧Twitter)@Tik Tok	アニメ、漫画	いいえ	いいえと回答	いいえ	特になし	なし	いいえ	いいえ	規則正しい生活	なるべく歩く	2	1236637255
15	３	１より痩せている	240	Instagram	モデル (人)	はい	スポーツ・パフォーマンス向上	いいえ	理想の人物はいない	太る前の体型に戻りたいと１０年前から思いだした。	はい	はい	夜中に食べないのと、程度な運動。	適度な運動。	2	1234403352
20	４	１	265	X (旧Twitter)@Instagram	該当なし	はい	理想のモデルの影響	いいえ	ヨガインストラクター	20代後半、勧められたヨガ教室に行った時	いいえ	はい	運動と食事の見直し	なるべく歩く	2	1237597105
21	３	４	66	X (旧Twitter)	モデル (人)	はい	理想のモデルの影響	はい	なや	初	はい	はい	はみ	はまは	2	1229934188
20	４	２	5	Instagram	風景	はい	健康状態の改善（病気予防・治療）	いいえ	モデル	中学生の頃、太ったから	いいえ	はい	運動	運動と食事	2	1233062342
17	２	２	240	X (旧Twitter)@Instagram	テレビ番組	はい	身の周りの環境	いいえ	会社員	3年ほど前、痩せている方がカッコイイと思ったから。	いいえ	はい	運動をしたり、食べる量を減らす	食べすぎないように気をつける	2	1236888785
43	２	３	194	X (旧Twitter)@Instagram@Facebook@Tik Tok	テレビ番組	はい	健康状態の改善（病気予防・治療）	いいえ	会社員	大学の時で、高校までは痩せすぎてたのですが大学に入ってからはいい感じに肉がつくようになったのがきっかけかと	いいえ	いいえ	運動すること	運動すること##食べた後すぐに横にならない##朝ごはんは抜かずに食べる	2	1238712311
23	５	３	35	X (旧Twitter)@Instagram@Tik Tok	動物	はい	理想のモデルの影響	いいえ	アスリート	なんとなく	いいえ	はい	もっと運動する	特に無し	2	1234472533
18	２	１より痩せている	1	Instagram	音楽	はい	理想のモデルの影響	いいえ	アイドル	昔から痩せてる人が綺麗という風潮	いいえ	はい	脂肪吸引	食べすぎない	2	1235756579
20	３	１	300	X (旧Twitter)@Instagram@Facebook@Tik Tok	動物	はい	健康状態の改善（病気予防・治療）	いいえ	適度な運動をしている人	痩せなくなってきた30代	いいえ	はい	適度な運動	特になし	2	1237273534
18	１より痩せている	１	60	X (旧Twitter)@Instagram	該当なし	はい	健康状態の改善（病気予防・治療）	いいえ	ない	19歳くらい。大学入学で環境が変わり、ストレスから食事できなくなり痩せた。それをきっかけに、脂っこいものや味の濃いものを胃が受け付けなって今に至る	はい	はい	筋トレをして筋肉をつける	毎日30分体を動かす	2	1231393532
24	４	２	60	該当なし	該当なし	はい	その他	いいえ	モデル	覚えていない	いいえ	はい	運動	ない	2	1225128428
17	４	３	160	X (旧Twitter)@Instagram	音楽	いいえ	健康状態の改善（病気予防・治療）	いいえ	役者	筋トレを始めた時	いいえ	はい	ストレッチ	規則正しい生活	2	1236745022
18	２	１より痩せている	156	X (旧Twitter)@Instagram	アニメ、漫画	はい	理想のモデルの影響	いいえ	女優	大学生のとき、服を綺麗に着こなしたかった	はい	はい	きんとれ	食事	2	1233664928
